chave;cnpj;nr_natureza_juridica;matriz;simples;simei;classificação;situacao
2135-1657-1988;16573594000160;2135;1;0;0;PRIVADO;BAIXADA
2135-0722-2005;07226028000190;2135;1;0;0;PRIVADO;BAIXADA
2135-0522-1977;05223037000100;2135;1;0;0;PRIVADO;BAIXADA
2062-0586-2003;05867689000170;2062;1;0;0;PRIVADO;BAIXADA
2062-0311-1999;03119624000110;2062;1;0;0;PRIVADO;BAIXADA
2135-0018-1994;00188091000130;2135;1;0;0;PRIVADO;BAIXADA
2135-9228-1988;92286509000160;2135;1;0;0;PRIVADO;BAIXADA
2135-8748-1981;87480547000110;2135;1;0;0;PRIVADO;BAIXADA
2062-8113-1989;81135311000160;2062;1;0;0;PRIVADO;BAIXADA
2135-1853-1983;18536078000190;2135;1;0;0;PRIVADO;BAIXADA
2135-0418-2000;04183308000170;2135;1;0;0;PRIVADO;BAIXADA
2062-0234-1998;02348747000160;2062;1;0;0;PRIVADO;BAIXADA
2135-2665-1990;26657403000100;2135;1;0;0;PRIVADO;BAIXADA
2135-1924-1984;19249614000130;2135;1;0;0;PRIVADO;BAIXADA
2062-5428-1985;54281126000100;2062;1;0;0;PRIVADO;BAIXADA
3999-1898-1984;18986794000170;3999;1;0;0;PRIVADO;BAIXADA
2062-5695-1987;56951460000150;2062;1;0;0;PRIVADO;BAIXADA
2135-6733-1991;67330423000140;2135;1;0;0;PRIVADO;BAIXADA
2135-7098-1993;70981477000180;2135;1;0;0;PRIVADO;BAIXADA
2135-3456-1990;34565309000140;2135;1;0;0;PRIVADO;BAIXADA
2135-1023-2008;10231332000130;2135;1;0;0;PRIVADO;BAIXADA
2062-8021-1966;80217748000180;2062;1;0;0;PRIVADO;BAIXADA
2062-4995-1978;49956741000130;2062;1;0;0;PRIVADO;BAIXADA
2240-5263-1983;52638087000120;2240;1;0;0;PRIVADO;BAIXADA
2062-7682-1983;76825140000160;2062;1;0;0;PRIVADO;BAIXADA
4014-8898-1976;88982814000110;4014;1;0;0;PRIVADO;BAIXADA
2062-2987-1979;29877065000100;2062;1;0;0;PRIVADO;BAIXADA
2240-3064-1980;30646731000170;2240;1;0;0;PRIVADO;BAIXADA
2135-9007-1984;90071549000160;2135;1;0;0;PRIVADO;BAIXADA
2062-6838-1992;68387802000130;2062;1;0;0;PRIVADO;BAIXADA
2062-6149-1968;61496154000100;2062;1;0;0;PRIVADO;BAIXADA
2062-0958-2008;09585148000100;2062;1;1;0;PRIVADO;ATIVA
4120-0798-2006;07987231000180;4120;1;0;0;PRIVADO;ATIVA
4120-0839-2006;08396394000150;4120;1;0;0;PRIVADO;ATIVA
2062-0720-2005;07208250000160;2062;1;1;0;PRIVADO;ATIVA
2062-0064-2004;00646104000330;2062;0;0;0;PRIVADO;ATIVA
2135-0292-1986;02928778000190;2135;1;0;0;PRIVADO;ATIVA
2135-1464-2011;14649357000100;2135;1;1;1;PRIVADO;ATIVA
2062-0550-2003;05505737000180;2062;1;1;0;PRIVADO;ATIVA
2135-0920-2007;09208183000100;2135;1;1;0;PRIVADO;ATIVA
2062-0211-1997;02115997000150;2062;1;1;0;PRIVADO;ATIVA
2062-1347-2011;13470715000150;2062;1;1;0;PRIVADO;ATIVA
2135-5552-1986;55524342000100;2135;1;1;0;PRIVADO;ATIVA
2135-1358-2011;13587405000110;2135;1;1;1;PRIVADO;ATIVA
2135-1112-2009;11122252000100;2135;1;1;0;PRIVADO;ATIVA
2135-1245-2010;12456914000140;2135;1;1;0;PRIVADO;ATIVA
2135-1382-2011;13822831000190;2135;1;0;0;PRIVADO;BAIXADA
2135-1303-2010;13030297000180;2135;1;0;0;PRIVADO;ATIVA
2135-8454-1994;84542810000160;2135;1;0;0;PRIVADO;ATIVA
2135-1488-2012;14888948000130;2135;1;0;0;PRIVADO;BAIXADA
2135-1031-2008;10316007000170;2135;1;0;0;PRIVADO;ATIVA
2062-1495-2012;14959998000160;2062;1;0;0;PRIVADO;ATIVA
2135-1522-2012;15224725000130;2135;1;1;1;PRIVADO;ATIVA
2305-1569-2012;15698317000110;2305;1;1;0;PRIVADO;ATIVA
2135-1569-2012;15697020000130;2135;1;1;1;PRIVADO;ATIVA
3271-1573-2011;15731774000160;3271;1;0;0;PUBLICO;ATIVA
1031-1573-2001;15732933000140;1031;1;0;0;PUBLICO;ATIVA
4120-1030-2012;10309339000390;4120;0;0;0;PRIVADO;ATIVA
2135-1573-2012;15739240000180;2135;1;1;1;PRIVADO;ATIVA
4120-0821-2009;08213199000490;4120;0;0;0;PRIVADO;ATIVA
4120-0921-2007;09210918000210;4120;0;0;0;PRIVADO;ATIVA
4120-0835-2006;08351844000270;4120;0;0;0;PRIVADO;ATIVA
4120-0839-2006;08396358000600;4120;0;0;0;PRIVADO;ATIVA
